ID,TARGET
1115,-0.22785752335862383
1202,-0.03786444855182588
1194,-0.042201975210449945
1084,0.16296986778262032
1135,0.700383839232016
960,0.11625952426205026
1131,1.025369484892926
996,-0.2744434816541952
1085,0.029774836480682097
1063,-0.0014944801214599912
1035,0.2097458988443711
997,-0.5050106990124319
1042,-0.07200487740213551
954,-0.2168375833303075
1126,1.5274493797127835
1122,0.25265043130899206
1167,0.20416197201922204
1125,0.43924115743719994
1019,0.28130821816168033
982,-0.39002443495104583
1175,0.11621736461264036
1083,0.20060893655014303
1161,1.1989169332565552
1061,-0.1820357930326627
1044,0.11862615081872775
948,0.6313310683372412
949,-0.7616418280820745
941,-0.28006687587506013
1001,-0.15564720110837224
1190,-0.3190034778943769
943,-0.35337078967761076
1011,0.43417398101502297
975,0.19297114400221468
1213,0.0633333191026426
1127,0.09905765681390884
1039,0.06407684824691966
1196,-0.09889249207115433
1171,-0.5062720431528958
2028,0.8199774151976335
1746,0.041042071114327894
1608,0.25576675571714436
1356,0.19365127377961724
2008,0.19588790508160217
1390,-0.8594991114837678
1337,-0.35524883352282016
1830,-0.157904559436475
1217,0.22242223841866648
2037,0.36308646379151793
1989,-0.39051107405254065
1984,-0.2740879097794348
2147,0.0703517798736214
1496,1.6577635450178096
1521,0.15234399084757952
1935,-0.10667231473623154
1994,0.1893849538612664
1389,-0.15860480645904299
1433,0.46378591395048674
1371,1.1411318237075452
1469,-0.061960826775624527
1956,0.7605053353170522
1889,0.2138596797433283
1708,0.8395737852168211
2071,0.31913853041030477
1407,0.6504908536226854
1339,0.40902516093817887
1582,-0.06314077604276938
1805,2.080275726498716
1627,-0.22711696863927883
1570,-0.33518034333274
1232,0.08451942893876739
2109,0.5844567488187984
1663,0.7431915917586281
1664,-0.28820563779543196
1590,-0.2744499055204695
1465,0.2129213928793287
1466,-0.09740225465409785
1458,-0.2771380029532087
1741,-0.49368877426382
1245,-0.009040706858669074
1444,0.6087177546634283
1920,0.35747832884571423
1632,-0.08414859285903811
1439,0.6642374395861399
1358,0.24590628468237996
1238,0.04529512605232205
1551,0.14925679299458192
1404,0.4746304982591842
1789,0.8497370749897641
1393,-0.35097815342795985
1668,-0.016881463992966375
1264,0.19586882224947275
2106,0.0879833797802357
1494,0.35204075270819096
2088,-0.16062880279707867
2030,0.6105161584355865
1642,0.2979353047290913
2095,-0.6739059850913954
1771,0.6760841451382362
1589,-0.04559225654472557
