ID,TARGET
1115,0.24819838
1202,0.094155714
1194,0.09668654
1084,0.1217944
1135,0.06601154
960,0.24613512
1131,0.013828389
996,0.012105751
1085,-0.11854701
1063,0.41624695
1035,0.4685557
997,-0.018066041
1042,-0.12137516
954,0.023952167
1126,0.55622065
1122,0.43186072
1167,0.255571
1125,0.3123116
1019,0.28932706
982,0.35502726
1175,0.12260786
1083,-0.13985059
1161,0.32354626
1061,-0.123856716
1044,0.17640236
948,0.42411053
949,0.1796021
941,-0.14878872
1001,-0.1462314
1190,-0.15549934
943,0.17977645
1011,0.09719632
975,0.6267886
1213,-0.023126159
1127,-0.011981845
1039,0.04837085
1196,-0.06242957
1171,0.4299601
2028,0.3822493
1746,0.14789733
1608,0.14224944
1356,-0.14840254
2008,-0.07217538
1390,-0.047631636
1337,-0.06926924
1830,0.25484037
1217,-0.21776758
2037,-0.0050934404
1989,-0.14015381
1984,-0.4911048
2147,0.063497975
1496,0.06349292
1521,0.2889003
1935,-0.25915113
1994,-0.004306309
1389,0.11856124
1433,0.00024399348
1371,0.020510223
1469,0.0714229
1956,0.13648601
1889,0.10504572
1708,0.3652448
2071,0.19413668
1407,0.7011268
1339,-0.01757489
1582,-0.11027509
1805,-0.03338789
1627,-0.77836883
1570,-0.24463145
1232,0.19258446
2109,-0.10872745
1663,0.11175436
1664,-0.16067523
1590,0.04690148
1465,0.22959232
1466,0.6499713
1458,0.04405254
1741,-0.45629242
1245,-0.11556695
1444,0.8104707
1920,0.16911183
1632,0.27443814
1439,0.4432579
1358,-0.06276501
1238,-0.030637175
1551,0.68470126
1404,0.19039413
1789,0.555101
1393,-0.25601557
1668,0.2219024
1264,0.021441616
2106,-0.20916246
1494,-0.25922304
2088,-0.24421456
2030,0.2986416
1642,0.8598261
2095,-0.071738735
1771,0.10470219
1589,-0.19691588
1959,0.30157617
1961,-0.10510906
1760,0.39794794
2116,0.13456798
1336,0.024259333
1824,-0.09984508
1574,0.13279843
1223,-0.17031932
1717,-0.4419368
1555,0.18221794
1998,0.09239378
1691,0.18108076
1600,-0.010576367
1992,-0.030500095
1958,0.97204715
1487,0.8911495
2092,0.08054065
1647,-0.13594303
1807,0.4600755
1650,-0.2962572
1613,-0.5484705
1778,-0.06834391
1914,0.5257029
1550,0.80204725
1923,-0.44553915
1347,-0.271604
1974,0.5612288
1885,0.5110293
1845,0.39642906
2033,0.21672146
1657,-0.05579332
1884,0.08721268
2136,0.4403584
1227,0.25438133
1325,-0.010800992
2098,0.12358753
1783,0.51156914
1774,0.40345746
1290,0.07788798
1904,0.1565416
1679,-0.04274235
1285,-0.26314992
1643,-0.16689718
1740,0.103863776
1954,0.38402185
2120,-0.10185935
1785,1.0407401
1633,0.3160734
1427,-0.4360542
1985,0.23220032
1630,0.21873955
1298,-0.12984593
1441,0.035564475
1918,0.04421768
1240,-0.14666626
1903,0.41659427
1838,0.27577388
2009,-0.11895412
1523,0.113847636
1259,0.20723748
1666,0.21696195
1373,-0.21680251
1251,0.51210916
1480,0.3678674
1599,-0.24166702
1702,0.13433233
1928,0.4692574
1396,-0.36355916
1656,0.5015289
1711,0.2826088
1644,-0.2193674
2006,0.042131543
1406,-0.008810591
1730,-0.0097342115
1296,-0.1578841
2099,-0.0061455825
1888,0.09441334
1557,-0.28802416
1542,0.8479072
1368,-0.16554548
1446,-0.20911184
1865,0.43275157
1775,0.1800937
730,-0.8009974
273,0.03006465
911,-0.32514477
274,0.3911318
619,0.097246684
31,0.356073
795,-0.55165976
807,0.32309294
751,0.3992323
234,-0.6709907
244,-0.34568205
299,0.5561779
437,0.6909711
716,0.056290388
617,0.2863091
885,-0.046980575
95,0.5497352
750,1.3430748
775,0.04278415
784,0.60989195
802,0.5493537
504,-0.30284107
798,-0.6086598
403,0.06958968
658,0.32922816
369,0.41407564
52,-0.03948238
513,0.20681855
791,0.095052786
133,-0.20583159
815,0.17305355
824,0.5193585
179,-0.43908495
124,0.037038177
471,-0.2180496
255,0.29192552
916,-0.32317922
153,0.21215871
284,0.3329282
387,0.8506973
508,0.19858679
598,0.013704352
323,0.9116985
703,0.50573087
510,0.114043996
592,1.2370293
467,0.39097494
420,0.82694876
537,0.23186132
